year,series_type,series_name,series_href
2021,T20 League,Caribbean Premier League 2021,https://www.cricbuzz.com/cricket-series/3581/caribbean-premier-league-2021/matches
2021,T20 League,The Hundred Mens Competition 2021,https://www.cricbuzz.com/cricket-series/3458/the-hundred-mens-competition-2021/matches
2021,T20 League,Tamil Nadu Premier League 2021,https://www.cricbuzz.com/cricket-series/3517/tamil-nadu-premier-league-2021/matches
2021,T20 League,T20 Blast 2021,https://www.cricbuzz.com/cricket-series/3417/t20-blast-2021/matches
2021,T20 League,Indian Premier League 2021,https://www.cricbuzz.com/cricket-series/3472/indian-premier-league-2021/matches
2021,T20 League,Pakistan Super League 2021,https://www.cricbuzz.com/cricket-series/3393/pakistan-super-league-2021/matches
2021,T20 League,CSA T20 Challenge 2021,https://www.cricbuzz.com/cricket-series/3315/csa-t20-challenge-2021/matches
2021,T20 League,T10 League 2021,https://www.cricbuzz.com/cricket-series/3403/t10-league-2021/matches
2021,Domestic,"ACC U19 Asia Cup, 2021",https://www.cricbuzz.com/cricket-series/3926/acc-u19-asia-cup-2021/matches
2021,Domestic,Vijay Hazare Trophy 2021-22,https://www.cricbuzz.com/cricket-series/3901/vijay-hazare-trophy-2021-22/matches
2021,Domestic,The Ford Trophy 2021-22,https://www.cricbuzz.com/cricket-series/3717/the-ford-trophy-2021-22/matches
2021,Domestic,"India A tour of South Africa, 2021",https://www.cricbuzz.com/cricket-series/3667/india-a-tour-of-south-africa-2021/matches
2021,Domestic,"England Lions tour of Australia, 2021",https://www.cricbuzz.com/cricket-series/3612/england-lions-tour-of-australia-2021/matches
2021,Domestic,Syed Mushtaq Ali Trophy 2021-22,https://www.cricbuzz.com/cricket-series/3841/syed-mushtaq-ali-trophy-2021-22/matches
2021,Domestic,4-Day Franchise Series 2021-22,https://www.cricbuzz.com/cricket-series/3703/4-day-franchise-series-2021-22/matches
2021,Domestic,"Pakistan A tour of Sri Lanka, 2021",https://www.cricbuzz.com/cricket-series/3723/pakistan-a-tour-of-sri-lanka-2021/matches
2021,Domestic,Plunket Shield 2021-22,https://www.cricbuzz.com/cricket-series/3718/plunket-shield-2021-22/matches
2021,Domestic,"ICC Mens T20 World Cup Warm-up Matches, 2021",https://www.cricbuzz.com/cricket-series/3672/icc-mens-t20-world-cup-warm-up-matches-2021/matches
2021,Domestic,"Sri Lanka tour of Oman, 2021",https://www.cricbuzz.com/cricket-series/3621/sri-lanka-tour-of-oman-2021/matches
2021,Domestic,Bob Willis Trophy 2021,https://www.cricbuzz.com/cricket-series/3713/bob-willis-trophy-2021/matches
2021,Domestic,Sheffield Shield 2021-22,https://www.cricbuzz.com/cricket-series/3586/sheffield-shield-2021-22/matches
2021,Domestic,Australia Domestic One-Day Cup 2021-22,https://www.cricbuzz.com/cricket-series/3582/australia-domestic-one-day-cup-2021-22/matches
2021,Domestic,Royal London One-Day Cup 2021,https://www.cricbuzz.com/cricket-series/3418/royal-london-one-day-cup-2021/matches
2021,Domestic,"South Africa A tour of Zimbabwe, 2021",https://www.cricbuzz.com/cricket-series/3527/south-africa-a-tour-of-zimbabwe-2021/matches
2021,Domestic,County Championship 2021,https://www.cricbuzz.com/cricket-series/3382/county-championship-2021/matches
2021,Domestic,"Ireland A tour of Bangladesh, 2021",https://www.cricbuzz.com/cricket-series/3428/ireland-a-tour-of-bangladesh-2021/matches
2021,Domestic,Vijay Hazare Trophy 2020-21,https://www.cricbuzz.com/cricket-series/3422/vijay-hazare-trophy-2020-21/matches
2021,Domestic,Australia Domestic One-Day Cup 2021,https://www.cricbuzz.com/cricket-series/3368/australia-domestic-one-day-cup-2021/matches
2021,Domestic,Syed Mushtaq Ali Trophy 2021,https://www.cricbuzz.com/cricket-series/3377/syed-mushtaq-ali-trophy-2021/matches
2021,Domestic,Momentum One Day Cup 2021,https://www.cricbuzz.com/cricket-series/3314/momentum-one-day-cup-2021/matches
2021,Women,Womens Challenger Trophy 2021,https://www.cricbuzz.com/cricket-series/3911/womens-challenger-trophy-2021/matches
2021,Women,ICC Womens World Cup Qualifier 2021,https://www.cricbuzz.com/cricket-series/3853/icc-womens-world-cup-qualifier-2021/matches
2021,Women,"Bangladesh Women tour of Zimbabwe, 2021",https://www.cricbuzz.com/cricket-series/3828/bangladesh-women-tour-of-zimbabwe-2021/matches
2021,Women,"West Indies women tour of Pakistan,2021",https://www.cricbuzz.com/cricket-series/3813/west-indies-women-tour-of-pakistan2021/matches
2021,Women,ICC Womens T20 World Cup Americas Region Qualifier 2021,https://www.cricbuzz.com/cricket-series/5994/icc-womens-t20-world-cup-americas-region-qualifier-2021/matches
2021,Women,Womens Big Bash League 2021,https://www.cricbuzz.com/cricket-series/3571/womens-big-bash-league-2021/matches
2021,Women,"England Women tour of Pakistan, 2021 (Cancelled)",https://www.cricbuzz.com/cricket-series/3388/england-women-tour-of-pakistan-2021-cancelled/matches
2021,Women,"Ireland Women tour of Zimbabwe, 2021",https://www.cricbuzz.com/cricket-series/3708/ireland-women-tour-of-zimbabwe-2021/matches
2021,Women,Belgium Women tour of Austria 2021,https://www.cricbuzz.com/cricket-series/6360/belgium-women-tour-of-austria-2021/matches
2021,Women,"India Women tour of Australia, 2021",https://www.cricbuzz.com/cricket-series/3552/india-women-tour-of-australia-2021/matches
2021,Women,ICC Womens T20 World Cup Africa Region Qualifier 2021,https://www.cricbuzz.com/cricket-series/6435/icc-womens-t20-world-cup-africa-region-qualifier-2021/matches
2021,Women,"New Zealand Women tour of England, 2021",https://www.cricbuzz.com/cricket-series/3501/new-zealand-women-tour-of-england-2021/matches
2021,Women,"South Africa Women tour of West Indies, 2021",https://www.cricbuzz.com/cricket-series/3607/south-africa-women-tour-of-west-indies-2021/matches
2021,Women,"Norway Women tour of Sweden, 2021",https://www.cricbuzz.com/cricket-series/6766/norway-women-tour-of-sweden-2021/matches
2021,Women,"Thailand Women tour of Zimbabwe, 2021",https://www.cricbuzz.com/cricket-series/3616/thailand-women-tour-of-zimbabwe-2021/matches
2021,Women,ICC Womens T20 World Cup Europe Qualifier 2021,https://www.cricbuzz.com/cricket-series/3631/icc-womens-t20-world-cup-europe-qualifier-2021/matches
2021,Women,"Austria Women tour of Italy, 2021",https://www.cricbuzz.com/cricket-series/6036/austria-women-tour-of-italy-2021/matches
2021,Women,"Netherlands Women tour of Ireland, 2021",https://www.cricbuzz.com/cricket-series/3567/netherlands-women-tour-of-ireland-2021/matches
2021,Women,The Hundred Womens Competition 2021,https://www.cricbuzz.com/cricket-series/3457/the-hundred-womens-competition-2021/matches
2021,Women,France Women tour of Germany 2021,https://www.cricbuzz.com/cricket-series/6386/france-women-tour-of-germany-2021/matches
